track_id	subtraj_id	mode	p_coeff_um-2	lifetime_s	area_nm2	distance_nm	steps
0	0	free_diff	1.6239134578739618	6.976	1742.0	29201.0	218
0	1	confined	2639.6282010240147	0.544	3.0	231.0	17
0	2	free_diff	1.2056464711008823	5.76	1896.0	24218.0	180
0	3	confined	520.9224134970718	0.512	10.0	381.0	16
0	4	free_diff	0.09617956789527993	11.648	9866.0	51713.0	364
1	0	free_diff	2.130911825984741	2.176	962.0	10183.0	68
1	1	confined	92.31098517081139	2.24	14.0	803.0	70
1	2	free_diff	0.08313757133515205	13.632	11713.0	61082.0	426
1	3	confined	222.37360813426218	1.312	11.0	607.0	41
1	4	free_diff	6.842929166936912	1.216	333.0	4693.0	38
1	5	confined	371.5588714771462	1.28	13.0	697.0	40
1	6	free_diff	6.280982843381833	1.696	381.0	5873.0	53
1	7	confined	1708.4147632300544	0.32	4.0	275.0	10
1	8	free_diff	0.6004829134193534	1.568	1459.0	6840.0	49
2	0	free_diff	0.18657053264993304	9.248	6240.0	40193.0	289
2	1	confined	382.01785070557474	0.8	10.0	425.0	25
2	2	free_diff	11.281707374435165	0.8320000000000001	193.0	2881.0	26
2	3	confined	632.4415854163565	1.056	4.0	395.0	33
2	4	free_diff	0.2887656048825111	10.944	5300.0	46945.0	342
2	5	confined	6843.619787670385	0.352	2.0	239.0	11
2	6	free_diff	7.626721245159663	2.208	436.0	8841.0	69
3	0	free_diff	29.582808323484716	1.568	1470.0	45646.0	49
3	1	confined	876.871586446215	0.896	76.0	4718.0	28
3	2	free_diff	0.24833201508404806	9.376	9541.0	52190.0	293
3	3	confined	2256.1548967487834	0.512	3.0	252.0	16
3	4	free_diff	0.26389025088901663	13.088000000000001	6317.0	58250.0	409
4	0	free_diff	3.252497305966407	1.344	554.0	5754.0	42
4	1	confined	381.6272660272649	0.8	16.0	598.0	25
4	2	free_diff	0.22199587436665957	7.712	5361.0	34589.0	241
4	3	confined	1169.448622876213	0.704	5.0	324.0	22
4	4	free_diff	0.3356741593253428	7.328	4016.0	31279.0	229
4	5	confined	714.5023822871382	1.1520000000000001	8.0	583.0	36
4	6	free_diff	1.0014108544401574	6.4	2128.0	26513.0	200
5	0	free_diff	1.7417870885372708	1.8880000000000001	1004.0	8547.0	59
5	1	confined	1030.0674946993938	0.992	5.0	486.0	31
5	2	free_diff	1.4127348310862624	2.912	1377.0	13912.0	91
5	3	confined	634.2175188933574	0.48	6.0	276.0	15
5	4	free_diff	0.3469386363546209	10.368	4920.0	46150.0	324
5	5	confined	546.7279104859437	0.5760000000000001	7.0	429.0	18
5	6	free_diff	1.5768889217270472	2.24	1026.0	9326.0	70
5	7	confined	2045.1128034240307	0.992	4.0	444.0	31
5	8	free_diff	0.31201907041858107	4.992	3563.0	22028.0	156
6	0	free_diff	11.846322700376614	5.952	12540.0	347985.0	186
6	1	confined	461.5637721674479	0.608	10.0	436.0	19
6	2	free_diff	7.349819984096719	4.096	4147.0	77378.0	128
6	3	confined	1166.6400235293524	1.312	9.0	725.0	41
6	4	free_diff	6.629715289266686	5.28	7069.0	144318.0	165
6	5	confined	1599.0538754780782	0.384	93.0	9249.0	12
6	6	free_diff	9.402473364224795	7.808	4704.0	134242.0	244
7	0	free_diff	1.9487271186439485	2.048	937.0	8974.0	64
7	1	confined	1072.2007448682311	0.41600000000000004	6.0	371.0	13
